0;1;2;3;4;5;6;7;8
1;1;0;0;0;0;0;0;0
2;1;1;0;0;0;0;0;0
3;1;2;1;0;0;0;0;0
4;1;3;3;1;0;0;0;0
5;1;4;6;4;1;0;0;0
6;1;5;10;10;5;1;0;0
7;0;6;15;20;15;6;1;0
8;0;5;21;35;35;21;7;1
9;0;4;25;56;70;56;28;8
10;0;3;27;80;126;126;84;36
11;0;2;27;104;205;252;210;120
12;0;1;25;125;305;456;462;330
13;0;0;21;140;420;756;917;792
14;0;0;15;146;540;1161;1667;1708
15;0;0;10;140;651;1666;2807;3368
16;0;0;6;125;735;2247;4417;6147
17;0;0;3;104;780;2856;6538;10480
18;0;0;1;80;780;3431;9142;16808
19;0;0;0;56;735;3906;12117;25488
20;0;0;0;35;651;4221;15267;36688
21;0;0;0;20;540;4332;18327;50288
22;0;0;0;10;420;4221;20993;65808
23;0;0;0;4;305;3906;22967;82384
24;0;0;0;1;205;3431;24017;98813
25;0;0;0;0;126;2856;24017;113688
26;0;0;0;0;70;2247;22967;125588
27;0;0;0;0;35;1666;20993;133288
28;0;0;0;0;15;1161;18327;135954
29;0;0;0;0;5;756;15267;133288
30;0;0;0;0;1;456;12117;125588
31;0;0;0;0;0;252;9142;113688
32;0;0;0;0;0;126;6538;98813
33;0;0;0;0;0;56;4417;82384
34;0;0;0;0;0;21;2807;65808
35;0;0;0;0;0;6;1667;50288
36;0;0;0;0;0;1;917;36688
37;0;0;0;0;0;0;462;25488
38;0;0;0;0;0;0;210;16808
39;0;0;0;0;0;0;84;10480
40;0;0;0;0;0;0;28;6147
41;0;0;0;0;0;0;7;3368
42;0;0;0;0;0;0;1;1708
43;0;0;0;0;0;0;0;792
44;0;0;0;0;0;0;0;330
45;0;0;0;0;0;0;0;120
46;0;0;0;0;0;0;0;36
47;0;0;0;0;0;0;0;8
48;0;0;0;0;0;0;0;1
